frame,t_sec,track_id,type,severity,detail,image_x,image_y,speed_kmh
902,30.096733333333333,1,exceso_velocidad,0.8,90.0 km/h en zona de 50,1495.068359375,1002.6275024414062,90.0
902,30.096733333333333,1,distancia_corta,0.201592580921931,Gap 0.56s (14.0m) detrás de #4,1495.068359375,1002.6275024414062,90.0
920,30.697333333333333,9,conduccion_erratica,0.9750337026039785,std/disp=0.98,360.1256103515625,606.6640014648438,0.03511257264492433
923,30.797433333333334,14,conduccion_erratica,1.0,std/disp=1.19,474.69873046875,592.8812255859375,1.2026771441762367
931,31.06436666666667,4,exceso_velocidad,0.3343414422897061,66.7 km/h en zona de 50,1709.271484375,978.0098876953125,66.7170721144853
964,32.16546666666667,17,conduccion_erratica,1.0,std/disp=3.48,938.206787109375,651.46435546875,0.03564769326177878
967,32.265566666666665,16,conduccion_erratica,0.9340592286628127,std/disp=0.93,1031.1427001953125,667.1576538085938,0.08399785994156643
973,32.46576666666667,20,conduccion_erratica,1.0,std/disp=1.05,861.9640502929688,641.088134765625,0.12257709992895606
984,32.8328,22,conduccion_erratica,1.0,std/disp=2.64,807.6112060546875,632.7652587890625,0.45970546789418376
1013,33.80043333333333,33,distancia_corta,0.026100439917568895,Gap 0.68s (6.6m) detrás de #16,1410.7152099609375,772.8737182617188,35.027292256732615
1043,34.801433333333335,2,exceso_velocidad,0.31768405214627904,65.9 km/h en zona de 50,1473.8525390625,985.3055419921875,65.88420260731395
1060,35.36866666666667,34,conduccion_erratica,0.9757773751300732,std/disp=0.98,716.0460815429688,618.8923950195312,0.4973340665044679
1070,35.702333333333335,9,conduccion_erratica,1.0,std/disp=1.39,360.536376953125,606.5350952148438,0.07971670598139963
1092,36.4364,43,conduccion_erratica,0.9268889025728337,std/disp=0.93,1031.3681640625,666.8228759765625,0.025436475557974254
1098,36.6366,46,conduccion_erratica,1.0,std/disp=1.57,387.7437744140625,585.2763671875,0.4118683403013653
1099,36.66996666666667,44,conduccion_erratica,1.0,std/disp=1.13,940.1137084960938,651.4491577148438,0.17541807653481295
1110,37.037,38,conduccion_erratica,0.982822588408651,std/disp=0.98,717.1826171875,619.2894287109375,0.2202479710111729
1138,37.971266666666665,6,exceso_velocidad,0.3414464185640122,67.1 km/h en zona de 50,1494.6790771484375,972.251220703125,67.07232092820061
1140,38.038000000000004,6,frenada_brusca,0.7935562265259586,-31.7 km/h/s,1520.26171875,1020.3338012695312,68.15814534277767
1154,38.50513333333333,47,conduccion_erratica,1.0,std/disp=5.53,1883.7275390625,712.9251708984375,0.23845749438170277
1196,39.906533333333336,67,conduccion_erratica,1.0,std/disp=1.30,411.5569152832031,592.7490234375,0.8302646490008264
